angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.35,"[580, 203, 208, 276]",0.0,0.17,0.0,0.11,0.36,0.0
0.22,"[578, 199, 205, 263]",0.02,0.13,0.0,0.24,0.39,0.0
0.34,"[577, 207, 211, 269]",0.01,0.21,0.0,0.11,0.32,0.0
0.26,"[576, 198, 206, 267]",0.0,0.1,0.0,0.38,0.25,0.0
0.24,"[575, 198, 207, 266]",0.0,0.09,0.0,0.38,0.29,0.0
0.25,"[580, 202, 198, 262]",0.0,0.16,0.0,0.16,0.42,0.0
0.32,"[576, 200, 208, 277]",0.0,0.16,0.0,0.12,0.4,0.0
0.38,"[575, 200, 207, 280]",0.0,0.13,0.0,0.13,0.35,0.0
0.2,"[578, 199, 204, 268]",0.0,0.09,0.0,0.32,0.39,0.0
0.16,"[576, 203, 206, 265]",0.0,0.07,0.0,0.36,0.42,0.0
0.35,"[574, 203, 216, 283]",0.0,0.08,0.0,0.15,0.41,0.0
0.47,"[575, 206, 215, 280]",0.0,0.08,0.0,0.16,0.28,0.0
0.39,"[574, 207, 215, 283]",0.0,0.06,0.0,0.09,0.46,0.0
0.22,"[575, 200, 215, 289]",0.0,0.04,0.0,0.24,0.48,0.0
0.41,"[574, 200, 214, 289]",0.0,0.04,0.0,0.22,0.32,0.0
0.35,"[577, 204, 214, 286]",0.0,0.06,0.0,0.13,0.46,0.0
0.39,"[576, 202, 213, 288]",0.0,0.05,0.0,0.21,0.35,0.0
0.33,"[576, 202, 215, 287]",0.0,0.03,0.0,0.36,0.28,0.0
0.31,"[577, 207, 212, 286]",0.0,0.03,0.0,0.3,0.36,0.0
0.33,"[577, 206, 214, 288]",0.0,0.05,0.0,0.23,0.38,0.0
0.37,"[576, 216, 214, 279]",0.0,0.09,0.0,0.17,0.36,0.0
0.42,"[576, 217, 214, 278]",0.01,0.09,0.0,0.18,0.3,0.0
0.33,"[576, 215, 214, 280]",0.01,0.08,0.0,0.15,0.43,0.0
0.39,"[577, 217, 213, 278]",0.0,0.1,0.0,0.19,0.31,0.0
0.45,"[578, 208, 215, 286]",0.0,0.04,0.0,0.19,0.31,0.0
0.31,"[578, 209, 215, 285]",0.0,0.04,0.0,0.29,0.36,0.0
0.3,"[579, 208, 214, 286]",0.0,0.04,0.0,0.32,0.33,0.0
